Month,value
01-2020,0.0
02-2020,0.0
03-2020,20.0
04-2020,285.0
05-2020,446.0
06-2020,337.0
07-2020,654.0
08-2020,1077.0
09-2020,506.0
10-2020,569.0
11-2020,647.0
12-2020,1386.0
01-2021,2587.0
02-2021,926.0
03-2021,326.0
04-2021,182.0
05-2021,211.0
06-2021,107.0
07-2021,254.0
08-2021,1401.0
09-2021,1856.0
10-2021,1034.0
11-2021,248.0
12-2021,240.0
01-2022,1028.0
02-2022,1169.0
03-2022,317.0
04-2022,69.0
05-2022,17.0
06-2022,66.0
07-2022,208.0
08-2022,185.0
09-2022,144.0
10-2022,91.0
11-2022,63.0
12-2022,134.0
01-2023,175.0
02-2023,109.0
