Month,value
01-2020,4.0
02-2020,20.0
03-2020,3682.0
04-2020,56130.0
05-2020,43586.0
06-2020,14929.0
07-2020,23337.0
08-2020,32259.0
09-2020,16073.0
10-2020,24160.0
11-2020,43637.0
12-2020,77754.0
01-2021,110366.0
02-2021,44341.0
03-2021,18463.0
04-2021,14917.0
05-2021,15291.0
06-2021,6438.0
07-2021,10436.0
08-2021,39401.0
09-2021,56637.0
10-2021,46517.0
11-2021,26610.0
12-2021,35715.0
01-2022,76975.0
02-2022,44361.0
03-2022,11598.0
04-2022,4504.0
05-2022,4308.0
06-2022,5679.0
07-2022,9742.0
08-2022,8586.0
09-2022,6858.0
10-2022,6985.0
11-2022,5837.0
12-2022,10545.0
01-2023,9060.0
02-2023,5007.0
