Month,value
01-2020,0.0
02-2020,0.0
03-2020,29.0
04-2020,329.0
05-2020,519.0
06-2020,713.0
07-2020,1797.0
08-2020,1141.0
09-2020,235.0
10-2020,244.0
11-2020,683.0
12-2020,2303.0
01-2021,4258.0
02-2021,1589.0
03-2021,417.0
04-2021,185.0
05-2021,234.0
06-2021,135.0
07-2021,285.0
08-2021,640.0
09-2021,1036.0
10-2021,1203.0
11-2021,1345.0
12-2021,1857.0
01-2022,2106.0
02-2022,1232.0
03-2022,357.0
04-2022,97.0
05-2022,66.0
06-2022,139.0
07-2022,203.0
08-2022,106.0
09-2022,102.0
10-2022,96.0
11-2022,160.0
12-2022,410.0
01-2023,158.0
02-2023,56.0
