Month,value
01-2020,0.0
02-2020,0.0
03-2020,0.0
04-2020,46.0
05-2020,67.0
06-2020,125.0
07-2020,198.0
08-2020,406.0
09-2020,314.0
10-2020,606.0
11-2020,672.0
12-2020,910.0
01-2021,1221.0
02-2021,428.0
03-2021,166.0
04-2021,62.0
05-2021,84.0
06-2021,92.0
07-2021,396.0
08-2021,804.0
09-2021,699.0
10-2021,476.0
11-2021,183.0
12-2021,301.0
01-2022,703.0
02-2022,713.0
03-2022,159.0
04-2022,24.0
05-2022,11.0
06-2022,10.0
07-2022,93.0
08-2022,120.0
09-2022,86.0
10-2022,58.0
11-2022,31.0
12-2022,93.0
01-2023,106.0
02-2023,60.0
