Month,value
01-2020,0.0
02-2020,0.0
03-2020,169.0
04-2020,1682.0
05-2020,2439.0
06-2020,1714.0
07-2020,3049.0
08-2020,4124.0
09-2020,1878.0
10-2020,1464.0
11-2020,2093.0
12-2020,9574.0
01-2021,21711.0
02-2021,7420.0
03-2021,1995.0
04-2021,802.0
05-2021,616.0
06-2021,325.0
07-2021,738.0
08-2021,2752.0
09-2021,3841.0
10-2021,3031.0
11-2021,2088.0
12-2021,1861.0
01-2022,5988.0
02-2022,4578.0
03-2022,1150.0
04-2022,400.0
05-2022,348.0
06-2022,574.0
07-2022,1184.0
08-2022,886.0
09-2022,589.0
10-2022,438.0
11-2022,471.0
12-2022,1322.0
01-2023,851.0
02-2023,394.0
