Month,value
01-2020,0.0
02-2020,0.0
03-2020,57.0
04-2020,734.0
05-2020,527.0
06-2020,142.0
07-2020,102.0
08-2020,125.0
09-2020,81.0
10-2020,239.0
11-2020,881.0
12-2020,1373.0
01-2021,754.0
02-2021,272.0
03-2021,137.0
04-2021,151.0
05-2021,300.0
06-2021,166.0
07-2021,193.0
08-2021,245.0
09-2021,414.0
10-2021,815.0
11-2021,1029.0
12-2021,963.0
01-2022,978.0
02-2022,520.0
03-2022,144.0
04-2022,37.0
05-2022,47.0
06-2022,99.0
07-2022,120.0
08-2022,65.0
09-2022,74.0
10-2022,86.0
11-2022,125.0
12-2022,160.0
01-2023,82.0
02-2023,0.0
