Month,value
01-2020,0.0
02-2020,0.0
03-2020,56.0
04-2020,2029.0
05-2020,1806.0
06-2020,241.0
07-2020,59.0
08-2020,0.0
09-2020,11.0
10-2020,143.0
11-2020,402.0
12-2020,867.0
01-2021,1115.0
02-2021,441.0
03-2021,193.0
04-2021,167.0
05-2021,134.0
06-2021,0.0
07-2021,0.0
08-2021,94.0
09-2021,160.0
10-2021,157.0
11-2021,141.0
12-2021,303.0
01-2022,951.0
02-2022,336.0
03-2022,55.0
04-2022,41.0
05-2022,79.0
06-2022,65.0
07-2022,65.0
08-2022,76.0
09-2022,76.0
10-2022,138.0
11-2022,86.0
12-2022,156.0
01-2023,125.0
02-2023,67.0
