Month,value
01-2020,0.0
02-2020,0.0
03-2020,107.0
04-2020,1089.0
05-2020,1148.0
06-2020,796.0
07-2020,3444.0
08-2020,5264.0
09-2020,1787.0
10-2020,1403.0
11-2020,1441.0
12-2020,2371.0
01-2021,5028.0
02-2021,2935.0
03-2021,1494.0
04-2021,1233.0
05-2021,1374.0
06-2021,713.0
07-2021,1897.0
08-2021,8588.0
09-2021,8110.0
10-2021,3100.0
11-2021,713.0
12-2021,557.0
01-2022,3873.0
02-2022,2989.0
03-2022,827.0
04-2022,313.0
05-2022,293.0
06-2022,632.0
07-2022,1054.0
08-2022,883.0
09-2022,592.0
10-2022,440.0
11-2022,288.0
12-2022,535.0
01-2023,623.0
02-2023,424.0
