Month,value
01-2020,0.0
02-2020,0.0
03-2020,135.0
04-2020,904.0
05-2020,883.0
06-2020,405.0
07-2020,946.0
08-2020,1924.0
09-2020,887.0
10-2020,790.0
11-2020,854.0
12-2020,1378.0
01-2021,4026.0
02-2021,1769.0
03-2021,626.0
04-2021,417.0
05-2021,397.0
06-2021,180.0
07-2021,272.0
08-2021,2190.0
09-2021,3494.0
10-2021,1873.0
11-2021,467.0
12-2021,430.0
01-2022,2206.0
02-2022,1533.0
03-2022,398.0
04-2022,138.0
05-2022,70.0
06-2022,112.0
07-2022,339.0
08-2022,333.0
09-2022,230.0
10-2022,145.0
11-2022,111.0
12-2022,235.0
01-2023,309.0
02-2023,135.0
