Month,value
01-2020,0.0
02-2020,0.0
03-2020,0.0
04-2020,45.0
05-2020,0.0
06-2020,0.0
07-2020,81.0
08-2020,194.0
09-2020,90.0
10-2020,176.0
11-2020,304.0
12-2020,373.0
01-2021,267.0
02-2021,88.0
03-2021,29.0
04-2021,64.0
05-2021,65.0
06-2021,46.0
07-2021,45.0
08-2021,180.0
09-2021,504.0
10-2021,706.0
11-2021,289.0
12-2021,183.0
01-2022,245.0
02-2022,251.0
03-2022,43.0
04-2022,0.0
05-2022,0.0
06-2022,10.0
07-2022,44.0
08-2022,45.0
09-2022,0.0
10-2022,0.0
11-2022,13.0
12-2022,10.0
01-2023,0.0
02-2023,0.0
