Month,value
01-2020,0.0
02-2020,0.0
03-2020,86.0
04-2020,1978.0
05-2020,3112.0
06-2020,1059.0
07-2020,387.0
08-2020,456.0
09-2020,422.0
10-2020,976.0
11-2020,2754.0
12-2020,3471.0
01-2021,2608.0
02-2021,966.0
03-2021,448.0
04-2021,577.0
05-2021,805.0
06-2021,323.0
07-2021,218.0
08-2021,594.0
09-2021,981.0
10-2021,949.0
11-2021,670.0
12-2021,1520.0
01-2022,3839.0
02-2022,1271.0
03-2022,306.0
04-2022,126.0
05-2022,154.0
06-2022,188.0
07-2022,288.0
08-2022,265.0
09-2022,214.0
10-2022,238.0
11-2022,196.0
12-2022,354.0
01-2023,264.0
02-2023,149.0
