Month,value
01-2020,0.0
02-2020,0.0
03-2020,62.0
04-2020,918.0
05-2020,1075.0
06-2020,410.0
07-2020,255.0
08-2020,389.0
09-2020,320.0
10-2020,875.0
11-2020,1692.0
12-2020,2437.0
01-2021,2243.0
02-2021,636.0
03-2021,213.0
04-2021,194.0
05-2021,331.0
06-2021,179.0
07-2021,142.0
08-2021,511.0
09-2021,1108.0
10-2021,1130.0
11-2021,758.0
12-2021,1476.0
01-2022,2327.0
02-2022,1057.0
03-2022,271.0
04-2022,116.0
05-2022,79.0
06-2022,113.0
07-2022,195.0
08-2022,199.0
09-2022,177.0
10-2022,139.0
11-2022,157.0
12-2022,310.0
01-2023,175.0
02-2023,78.0
