Month,value
01-2020,0.0
02-2020,0.0
03-2020,0.0
04-2020,122.0
05-2020,428.0
06-2020,148.0
07-2020,118.0
08-2020,268.0
09-2020,203.0
10-2020,513.0
11-2020,1279.0
12-2020,1138.0
01-2021,695.0
02-2021,214.0
03-2021,105.0
04-2021,79.0
05-2021,86.0
06-2021,22.0
07-2021,49.0
08-2021,140.0
09-2021,312.0
10-2021,471.0
11-2021,347.0
12-2021,471.0
01-2022,670.0
02-2022,362.0
03-2022,102.0
04-2022,10.0
05-2022,35.0
06-2022,39.0
07-2022,93.0
08-2022,93.0
09-2022,78.0
10-2022,91.0
11-2022,46.0
12-2022,151.0
01-2023,60.0
02-2023,47.0
