Month,value
01-2020,0.0
02-2020,0.0
03-2020,0.0
04-2020,111.0
05-2020,86.0
06-2020,50.0
07-2020,76.0
08-2020,187.0
09-2020,183.0
10-2020,430.0
11-2020,762.0
12-2020,1144.0
01-2021,972.0
02-2021,249.0
03-2021,86.0
04-2021,59.0
05-2021,81.0
06-2021,34.0
07-2021,128.0
08-2021,344.0
09-2021,414.0
10-2021,355.0
11-2021,281.0
12-2021,435.0
01-2022,916.0
02-2022,484.0
03-2022,121.0
04-2022,28.0
05-2022,20.0
06-2022,38.0
07-2022,74.0
08-2022,83.0
09-2022,60.0
10-2022,59.0
11-2022,32.0
12-2022,127.0
01-2023,89.0
02-2023,10.0
