Month,value
01-2020,0.0
02-2020,0.0
03-2020,0.0
04-2020,220.0
05-2020,243.0
06-2020,136.0
07-2020,135.0
08-2020,282.0
09-2020,256.0
10-2020,473.0
11-2020,847.0
12-2020,1328.0
01-2021,1385.0
02-2021,649.0
03-2021,291.0
04-2021,173.0
05-2021,185.0
06-2021,119.0
07-2021,182.0
08-2021,670.0
09-2021,1534.0
10-2021,1330.0
11-2021,455.0
12-2021,695.0
01-2022,1344.0
02-2022,1119.0
03-2022,389.0
04-2022,144.0
05-2022,76.0
06-2022,128.0
07-2022,219.0
08-2022,204.0
09-2022,180.0
10-2022,173.0
11-2022,140.0
12-2022,206.0
01-2023,168.0
02-2023,99.0
