Month,value
01-2020,0.0
02-2020,0.0
03-2020,221.0
04-2020,1503.0
05-2020,858.0
06-2020,314.0
07-2020,539.0
08-2020,970.0
09-2020,367.0
10-2020,336.0
11-2020,399.0
12-2020,817.0
01-2021,1373.0
02-2021,592.0
03-2021,279.0
04-2021,148.0
05-2021,181.0
06-2021,111.0
07-2021,334.0
08-2021,1513.0
09-2021,1202.0
10-2021,490.0
11-2021,147.0
12-2021,129.0
01-2022,758.0
02-2022,692.0
03-2022,198.0
04-2022,57.0
05-2022,10.0
06-2022,12.0
07-2022,168.0
08-2022,141.0
09-2022,106.0
10-2022,72.0
11-2022,13.0
12-2022,71.0
01-2023,72.0
02-2023,0.0
