Month,value
01-2020,0.0
02-2020,0.0
03-2020,0.0
04-2020,40.0
05-2020,13.0
06-2020,0.0
07-2020,0.0
08-2020,0.0
09-2020,0.0
10-2020,0.0
11-2020,51.0
12-2020,156.0
01-2021,261.0
02-2021,81.0
03-2021,0.0
04-2021,38.0
05-2021,56.0
06-2021,21.0
07-2021,0.0
08-2021,18.0
09-2021,115.0
10-2021,157.0
11-2021,200.0
12-2021,274.0
01-2022,279.0
02-2022,150.0
03-2022,46.0
04-2022,13.0
05-2022,30.0
06-2022,23.0
07-2022,0.0
08-2022,12.0
09-2022,21.0
10-2022,63.0
11-2022,13.0
12-2022,35.0
01-2023,34.0
02-2023,21.0
