Month,value
01-2020,0.0
02-2020,0.0
03-2020,18.0
04-2020,923.0
05-2020,1681.0
06-2020,601.0
07-2020,247.0
08-2020,265.0
09-2020,157.0
10-2020,224.0
11-2020,515.0
12-2020,1155.0
01-2021,1453.0
02-2021,738.0
03-2021,361.0
04-2021,419.0
05-2021,362.0
06-2021,95.0
07-2021,52.0
08-2021,154.0
09-2021,396.0
10-2021,483.0
11-2021,267.0
12-2021,497.0
01-2022,1645.0
02-2022,477.0
03-2022,133.0
04-2022,46.0
05-2022,75.0
06-2022,101.0
07-2022,121.0
08-2022,122.0
09-2022,116.0
10-2022,110.0
11-2022,91.0
12-2022,189.0
01-2023,170.0
02-2023,126.0
