Month,value
01-2020,0.0
02-2020,0.0
03-2020,48.0
04-2020,3096.0
05-2020,3562.0
06-2020,555.0
07-2020,147.0
08-2020,99.0
09-2020,63.0
10-2020,179.0
11-2020,383.0
12-2020,1021.0
01-2021,1762.0
02-2021,738.0
03-2021,309.0
04-2021,214.0
05-2021,225.0
06-2021,57.0
07-2021,56.0
08-2021,122.0
09-2021,279.0
10-2021,349.0
11-2021,290.0
12-2021,593.0
01-2022,1463.0
02-2022,565.0
03-2022,95.0
04-2022,87.0
05-2022,167.0
06-2022,122.0
07-2022,131.0
08-2022,129.0
09-2022,97.0
10-2022,192.0
11-2022,146.0
12-2022,239.0
01-2023,269.0
02-2023,153.0
