Month,value
01-2020,0.0
02-2020,0.0
03-2020,247.0
04-2020,3257.0
05-2020,1590.0
06-2020,259.0
07-2020,116.0
08-2020,237.0
09-2020,175.0
10-2020,557.0
11-2020,1722.0
12-2020,2746.0
01-2021,1846.0
02-2021,578.0
03-2021,390.0
04-2021,1314.0
05-2021,1478.0
06-2021,338.0
07-2021,105.0
08-2021,302.0
09-2021,674.0
10-2021,1366.0
11-2021,1813.0
12-2021,2955.0
01-2022,2787.0
02-2022,1099.0
03-2022,303.0
04-2022,164.0
05-2022,204.0
06-2022,205.0
07-2022,225.0
08-2022,199.0
09-2022,254.0
10-2022,330.0
11-2022,282.0
12-2022,311.0
01-2023,256.0
02-2023,157.0
