Month,value
01-2020,0.0
02-2020,0.0
03-2020,11.0
04-2020,283.0
05-2020,734.0
06-2020,306.0
07-2020,119.0
08-2020,189.0
09-2020,170.0
10-2020,467.0
11-2020,1197.0
12-2020,1466.0
01-2021,795.0
02-2021,220.0
03-2021,127.0
04-2021,183.0
05-2021,246.0
06-2021,85.0
07-2021,16.0
08-2021,118.0
09-2021,288.0
10-2021,578.0
11-2021,712.0
12-2021,922.0
01-2022,936.0
02-2022,396.0
03-2022,113.0
04-2022,39.0
05-2022,94.0
06-2022,98.0
07-2022,113.0
08-2022,95.0
09-2022,106.0
10-2022,124.0
11-2022,146.0
12-2022,154.0
01-2023,115.0
02-2023,89.0
