Month,value
01-2020,0.0
02-2020,0.0
03-2020,15.0
04-2020,240.0
05-2020,461.0
06-2020,272.0
07-2020,464.0
08-2020,878.0
09-2020,375.0
10-2020,363.0
11-2020,458.0
12-2020,863.0
01-2021,1311.0
02-2021,512.0
03-2021,190.0
04-2021,126.0
05-2021,135.0
06-2021,71.0
07-2021,193.0
08-2021,1005.0
09-2021,984.0
10-2021,423.0
11-2021,139.0
12-2021,139.0
01-2022,818.0
02-2022,690.0
03-2022,154.0
04-2022,38.0
05-2022,0.0
06-2022,39.0
07-2022,144.0
08-2022,120.0
09-2022,101.0
10-2022,58.0
11-2022,25.0
12-2022,67.0
01-2023,116.0
02-2023,63.0
