Month,value
01-2020,0.0
02-2020,0.0
03-2020,18.0
04-2020,372.0
05-2020,446.0
06-2020,167.0
07-2020,194.0
08-2020,456.0
09-2020,529.0
10-2020,1147.0
11-2020,1741.0
12-2020,1989.0
01-2021,1832.0
02-2021,547.0
03-2021,256.0
04-2021,181.0
05-2021,199.0
06-2021,228.0
07-2021,741.0
08-2021,1212.0
09-2021,959.0
10-2021,750.0
11-2021,447.0
12-2021,874.0
01-2022,1961.0
02-2022,1075.0
03-2022,284.0
04-2022,98.0
05-2022,65.0
06-2022,83.0
07-2022,225.0
08-2022,200.0
09-2022,148.0
10-2022,157.0
11-2022,123.0
12-2022,253.0
01-2023,174.0
02-2023,111.0
