Month,value
01-2020,0.0
02-2020,0.0
03-2020,0.0
04-2020,0.0
05-2020,0.0
06-2020,0.0
07-2020,11.0
08-2020,39.0
09-2020,71.0
10-2020,263.0
11-2020,339.0
12-2020,315.0
01-2021,188.0
02-2021,64.0
03-2021,42.0
04-2021,0.0
05-2021,0.0
06-2021,11.0
07-2021,24.0
08-2021,125.0
09-2021,238.0
10-2021,453.0
11-2021,281.0
12-2021,130.0
01-2022,147.0
02-2022,150.0
03-2022,43.0
04-2022,0.0
05-2022,0.0
06-2022,0.0
07-2022,11.0
08-2022,0.0
09-2022,0.0
10-2022,0.0
11-2022,0.0
12-2022,0.0
01-2023,13.0
02-2023,0.0
