Month,value
01-2020,0.0
02-2020,0.0
03-2020,0.0
04-2020,56.0
05-2020,119.0
06-2020,80.0
07-2020,32.0
08-2020,90.0
09-2020,101.0
10-2020,263.0
11-2020,667.0
12-2020,534.0
01-2021,344.0
02-2021,91.0
03-2021,47.0
04-2021,24.0
05-2021,41.0
06-2021,0.0
07-2021,16.0
08-2021,107.0
09-2021,156.0
10-2021,249.0
11-2021,212.0
12-2021,286.0
01-2022,338.0
02-2022,212.0
03-2022,48.0
04-2022,0.0
05-2022,10.0
06-2022,0.0
07-2022,25.0
08-2022,22.0
09-2022,10.0
10-2022,0.0
11-2022,47.0
12-2022,81.0
01-2023,32.0
02-2023,0.0
