Month,value
01-2020,0.0
02-2020,0.0
03-2020,19.0
04-2020,193.0
05-2020,182.0
06-2020,71.0
07-2020,275.0
08-2020,503.0
09-2020,204.0
10-2020,182.0
11-2020,443.0
12-2020,1015.0
01-2021,1283.0
02-2021,533.0
03-2021,177.0
04-2021,127.0
05-2021,135.0
06-2021,94.0
07-2021,382.0
08-2021,632.0
09-2021,662.0
10-2021,595.0
11-2021,406.0
12-2021,411.0
01-2022,885.0
02-2022,624.0
03-2022,179.0
04-2022,45.0
05-2022,34.0
06-2022,74.0
07-2022,127.0
08-2022,65.0
09-2022,11.0
10-2022,38.0
11-2022,74.0
12-2022,132.0
01-2023,70.0
02-2023,0.0
