Month,value
01-2020,0.0
02-2020,0.0
03-2020,0.0
04-2020,57.0
05-2020,188.0
06-2020,93.0
07-2020,12.0
08-2020,0.0
09-2020,0.0
10-2020,11.0
11-2020,37.0
12-2020,213.0
01-2021,314.0
02-2021,76.0
03-2021,25.0
04-2021,10.0
05-2021,10.0
06-2021,0.0
07-2021,0.0
08-2021,25.0
09-2021,53.0
10-2021,102.0
11-2021,124.0
12-2021,220.0
01-2022,243.0
02-2022,106.0
03-2022,26.0
04-2022,0.0
05-2022,0.0
06-2022,13.0
07-2022,0.0
08-2022,0.0
09-2022,0.0
10-2022,28.0
11-2022,13.0
12-2022,16.0
01-2023,51.0
02-2023,31.0
