Month,value
01-2020,0.0
02-2020,0.0
03-2020,322.0
04-2020,7854.0
05-2020,4038.0
06-2020,678.0
07-2020,228.0
08-2020,159.0
09-2020,110.0
10-2020,251.0
11-2020,724.0
12-2020,1871.0
01-2021,2627.0
02-2021,1302.0
03-2021,833.0
04-2021,886.0
05-2021,602.0
06-2021,107.0
07-2021,114.0
08-2021,272.0
09-2021,475.0
10-2021,552.0
11-2021,312.0
12-2021,564.0
01-2022,2736.0
02-2022,761.0
03-2022,155.0
04-2022,123.0
05-2022,180.0
06-2022,134.0
07-2022,195.0
08-2022,160.0
09-2022,139.0
10-2022,190.0
11-2022,195.0
12-2022,283.0
01-2023,282.0
02-2023,187.0
