Month,value
01-2020,0.0
02-2020,0.0
03-2020,0.0
04-2020,93.0
05-2020,293.0
06-2020,119.0
07-2020,131.0
08-2020,120.0
09-2020,32.0
10-2020,170.0
11-2020,685.0
12-2020,927.0
01-2021,761.0
02-2021,283.0
03-2021,120.0
04-2021,31.0
05-2021,78.0
06-2021,30.0
07-2021,21.0
08-2021,200.0
09-2021,298.0
10-2021,346.0
11-2021,503.0
12-2021,645.0
01-2022,698.0
02-2022,341.0
03-2022,119.0
04-2022,22.0
05-2022,10.0
06-2022,52.0
07-2022,92.0
08-2022,30.0
09-2022,35.0
10-2022,24.0
11-2022,74.0
12-2022,114.0
01-2023,47.0
02-2023,0.0
