Month,value
01-2020,0.0
02-2020,0.0
03-2020,337.0
04-2020,6486.0
05-2020,3190.0
06-2020,540.0
07-2020,177.0
08-2020,127.0
09-2020,73.0
10-2020,262.0
11-2020,737.0
12-2020,2409.0
01-2021,4447.0
02-2021,1996.0
03-2021,898.0
04-2021,773.0
05-2021,539.0
06-2021,190.0
07-2021,89.0
08-2021,345.0
09-2021,692.0
10-2021,1027.0
11-2021,841.0
12-2021,1463.0
01-2022,2797.0
02-2022,1157.0
03-2022,289.0
04-2022,258.0
05-2022,387.0
06-2022,246.0
07-2022,274.0
08-2022,243.0
09-2022,224.0
10-2022,419.0
11-2022,329.0
12-2022,447.0
01-2023,374.0
02-2023,261.0
