Month,value
01-2020,0.0
02-2020,0.0
03-2020,0.0
04-2020,335.0
05-2020,552.0
06-2020,389.0
07-2020,531.0
08-2020,929.0
09-2020,767.0
10-2020,999.0
11-2020,1072.0
12-2020,1863.0
01-2021,3757.0
02-2021,1526.0
03-2021,510.0
04-2021,384.0
05-2021,521.0
06-2021,215.0
07-2021,284.0
08-2021,1309.0
09-2021,2395.0
10-2021,1832.0
11-2021,586.0
12-2021,760.0
01-2022,2255.0
02-2022,1735.0
03-2022,445.0
04-2022,138.0
05-2022,115.0
06-2022,222.0
07-2022,317.0
08-2022,289.0
09-2022,241.0
10-2022,268.0
11-2022,190.0
12-2022,283.0
01-2023,411.0
02-2023,203.0
