Month,value
01-2020,0.0
02-2020,0.0
03-2020,40.0
04-2020,811.0
05-2020,1249.0
06-2020,463.0
07-2020,487.0
08-2020,821.0
09-2020,533.0
10-2020,929.0
11-2020,2442.0
12-2020,5014.0
01-2021,4433.0
02-2021,1411.0
03-2021,570.0
04-2021,503.0
05-2021,539.0
06-2021,242.0
07-2021,181.0
08-2021,618.0
09-2021,1857.0
10-2021,2800.0
11-2021,1833.0
12-2021,3236.0
01-2022,4968.0
02-2022,1851.0
03-2022,476.0
04-2022,195.0
05-2022,149.0
06-2022,221.0
07-2022,320.0
08-2022,383.0
09-2022,340.0
10-2022,357.0
11-2022,345.0
12-2022,474.0
01-2023,390.0
02-2023,156.0
