Month,value
01-2020,0.0
02-2020,0.0
03-2020,14.0
04-2020,170.0
05-2020,113.0
06-2020,53.0
07-2020,151.0
08-2020,334.0
09-2020,269.0
10-2020,552.0
11-2020,981.0
12-2020,1600.0
01-2021,2027.0
02-2021,687.0
03-2021,232.0
04-2021,126.0
05-2021,94.0
06-2021,80.0
07-2021,215.0
08-2021,832.0
09-2021,1106.0
10-2021,759.0
11-2021,324.0
12-2021,456.0
01-2022,1284.0
02-2022,969.0
03-2022,228.0
04-2022,70.0
05-2022,23.0
06-2022,52.0
07-2022,123.0
08-2022,142.0
09-2022,120.0
10-2022,98.0
11-2022,66.0
12-2022,143.0
01-2023,150.0
02-2023,47.0
