Month,value
01-2020,0.0
02-2020,0.0
03-2020,14.0
04-2020,101.0
05-2020,52.0
06-2020,37.0
07-2020,82.0
08-2020,132.0
09-2020,69.0
10-2020,115.0
11-2020,256.0
12-2020,456.0
01-2021,447.0
02-2021,153.0
03-2021,88.0
04-2021,84.0
05-2021,201.0
06-2021,93.0
07-2021,93.0
08-2021,458.0
09-2021,842.0
10-2021,643.0
11-2021,330.0
12-2021,254.0
01-2022,513.0
02-2022,494.0
03-2022,165.0
04-2022,61.0
05-2022,67.0
06-2022,89.0
07-2022,138.0
08-2022,95.0
09-2022,49.0
10-2022,84.0
11-2022,50.0
12-2022,117.0
01-2023,73.0
02-2023,11.0
