Month,value
01-2020,0.0
02-2020,0.0
03-2020,52.0
04-2020,2694.0
05-2020,3170.0
06-2020,697.0
07-2020,391.0
08-2020,499.0
09-2020,298.0
10-2020,687.0
11-2020,2055.0
12-2020,5164.0
01-2021,5239.0
02-2021,1685.0
03-2021,733.0
04-2021,980.0
05-2021,957.0
06-2021,284.0
07-2021,150.0
08-2021,428.0
09-2021,1093.0
10-2021,2254.0
11-2021,1882.0
12-2021,2932.0
01-2022,4320.0
02-2022,1656.0
03-2022,428.0
04-2022,207.0
05-2022,269.0
06-2022,319.0
07-2022,323.0
08-2022,316.0
09-2022,323.0
10-2022,450.0
11-2022,370.0
12-2022,450.0
01-2023,466.0
02-2023,277.0
