Month,value
01-2020,0.0
02-2020,0.0
03-2020,17.0
04-2020,191.0
05-2020,312.0
06-2020,230.0
07-2020,757.0
08-2020,1095.0
09-2020,509.0
10-2020,518.0
11-2020,446.0
12-2020,866.0
01-2021,2154.0
02-2021,1034.0
03-2021,402.0
04-2021,283.0
05-2021,232.0
06-2021,81.0
07-2021,138.0
08-2021,906.0
09-2021,1799.0
10-2021,1220.0
11-2021,361.0
12-2021,333.0
01-2022,1241.0
02-2022,1033.0
03-2022,221.0
04-2022,43.0
05-2022,55.0
06-2022,70.0
07-2022,178.0
08-2022,180.0
09-2022,115.0
10-2022,114.0
11-2022,55.0
12-2022,173.0
01-2023,229.0
02-2023,97.0
