Month,value
01-2020,0.0
02-2020,0.0
03-2020,11.0
04-2020,180.0
05-2020,206.0
06-2020,188.0
07-2020,427.0
08-2020,774.0
09-2020,611.0
10-2020,950.0
11-2020,1309.0
12-2020,2191.0
01-2021,3009.0
02-2021,883.0
03-2021,459.0
04-2021,396.0
05-2021,461.0
06-2021,166.0
07-2021,255.0
08-2021,1313.0
09-2021,2748.0
10-2021,1833.0
11-2021,573.0
12-2021,703.0
01-2022,1945.0
02-2022,1664.0
03-2022,489.0
04-2022,131.0
05-2022,86.0
06-2022,133.0
07-2022,297.0
08-2022,297.0
09-2022,242.0
10-2022,215.0
11-2022,168.0
12-2022,246.0
01-2023,271.0
02-2023,159.0
