Month,value
01-2020,0.0
02-2020,0.0
03-2020,44.0
04-2020,775.0
05-2020,1041.0
06-2020,1075.0
07-2020,5438.0
08-2020,6107.0
09-2020,2118.0
10-2020,2811.0
11-2020,4506.0
12-2020,6133.0
01-2021,11130.0
02-2021,5509.0
03-2021,2321.0
04-2021,1207.0
05-2021,1234.0
06-2021,601.0
07-2021,1297.0
08-2021,6007.0
09-2021,8190.0
10-2021,5253.0
11-2021,1652.0
12-2021,1745.0
01-2022,5766.0
02-2022,4468.0
03-2022,1077.0
04-2022,334.0
05-2022,177.0
06-2022,299.0
07-2022,833.0
08-2022,763.0
09-2022,502.0
10-2022,377.0
11-2022,227.0
12-2022,646.0
01-2023,725.0
02-2023,357.0
