Month,value
01-2020,0.0
02-2020,0.0
03-2020,0.0
04-2020,14.0
05-2020,70.0
06-2020,53.0
07-2020,113.0
08-2020,97.0
09-2020,43.0
10-2020,178.0
11-2020,339.0
12-2020,437.0
01-2021,434.0
02-2021,143.0
03-2021,85.0
04-2021,30.0
05-2021,64.0
06-2021,57.0
07-2021,120.0
08-2021,206.0
09-2021,300.0
10-2021,398.0
11-2021,309.0
12-2021,269.0
01-2022,367.0
02-2022,250.0
03-2022,71.0
04-2022,0.0
05-2022,0.0
06-2022,13.0
07-2022,59.0
08-2022,23.0
09-2022,20.0
10-2022,10.0
11-2022,25.0
12-2022,77.0
01-2023,11.0
02-2023,0.0
