Month,value
01-2020,0.0
02-2020,0.0
03-2020,28.0
04-2020,581.0
05-2020,956.0
06-2020,339.0
07-2020,280.0
08-2020,492.0
09-2020,401.0
10-2020,488.0
11-2020,623.0
12-2020,1183.0
01-2021,2371.0
02-2021,1155.0
03-2021,482.0
04-2021,377.0
05-2021,371.0
06-2021,135.0
07-2021,103.0
08-2021,444.0
09-2021,1045.0
10-2021,1173.0
11-2021,514.0
12-2021,689.0
01-2022,1944.0
02-2022,1081.0
03-2022,308.0
04-2022,109.0
05-2022,105.0
06-2022,170.0
07-2022,213.0
08-2022,218.0
09-2022,195.0
10-2022,182.0
11-2022,122.0
12-2022,217.0
01-2023,273.0
02-2023,173.0
