Month,value
01-2020,0.0
02-2020,0.0
03-2020,225.0
04-2020,504.0
05-2020,288.0
06-2020,122.0
07-2020,209.0
08-2020,303.0
09-2020,139.0
10-2020,224.0
11-2020,373.0
12-2020,771.0
01-2021,776.0
02-2021,342.0
03-2021,150.0
04-2021,162.0
05-2021,262.0
06-2021,167.0
07-2021,165.0
08-2021,496.0
09-2021,1055.0
10-2021,905.0
11-2021,552.0
12-2021,402.0
01-2022,983.0
02-2022,644.0
03-2022,166.0
04-2022,66.0
05-2022,97.0
06-2022,140.0
07-2022,221.0
08-2022,157.0
09-2022,127.0
10-2022,102.0
11-2022,89.0
12-2022,214.0
01-2023,118.0
02-2023,88.0
