Month,value
01-2020,0.0
02-2020,0.0
03-2020,0.0
04-2020,13.0
05-2020,21.0
06-2020,0.0
07-2020,0.0
08-2020,99.0
09-2020,90.0
10-2020,136.0
11-2020,258.0
12-2020,615.0
01-2021,762.0
02-2021,237.0
03-2021,85.0
04-2021,104.0
05-2021,135.0
06-2021,47.0
07-2021,18.0
08-2021,156.0
09-2021,538.0
10-2021,689.0
11-2021,378.0
12-2021,340.0
01-2022,594.0
02-2022,474.0
03-2022,183.0
04-2022,41.0
05-2022,39.0
06-2022,55.0
07-2022,81.0
08-2022,84.0
09-2022,88.0
10-2022,94.0
11-2022,41.0
12-2022,78.0
01-2023,89.0
02-2023,78.0
