Month,value
01-2020,0.0
02-2020,0.0
03-2020,19.0
04-2020,257.0
05-2020,316.0
06-2020,150.0
07-2020,105.0
08-2020,189.0
09-2020,143.0
10-2020,884.0
11-2020,1736.0
12-2020,1435.0
01-2021,1014.0
02-2021,323.0
03-2021,114.0
04-2021,127.0
05-2021,156.0
06-2021,39.0
07-2021,39.0
08-2021,232.0
09-2021,510.0
10-2021,751.0
11-2021,690.0
12-2021,1088.0
01-2022,1428.0
02-2022,496.0
03-2022,138.0
04-2022,54.0
05-2022,80.0
06-2022,83.0
07-2022,118.0
08-2022,112.0
09-2022,102.0
10-2022,127.0
11-2022,131.0
12-2022,184.0
01-2023,101.0
02-2023,89.0
