state,value
Alabama,248.0
Alaska,107.0
Arizona,1345.0
Arkansas,183.0
California,2088.0
Colorado,1029.0
Connecticut,141.0
Delaware,76.0
District of Columbia,0.0
Florida,713.0
Georgia,467.0
Hawaii,22.0
Idaho,289.0
Illinois,670.0
Indiana,758.0
Iowa,347.0
Kansas,281.0
Kentucky,455.0
Louisiana,147.0
Maine,200.0
Maryland,267.0
Massachusetts,290.0
Michigan,1813.0
Minnesota,712.0
Mississippi,139.0
Missouri,447.0
Montana,281.0
Nebraska,212.0
Nevada,406.0
New Hampshire,124.0
New Jersey,312.0
New Mexico,503.0
New York,841.0
North Carolina,586.0
North Dakota,146.0
Ohio,1833.0
Oklahoma,324.0
Oregon,330.0
Pennsylvania,1882.0
Rhode Island,46.0
South Carolina,361.0
South Dakota,122.0
Tennessee,573.0
Texas,1652.0
Utah,309.0
Vermont,10.0
Virginia,514.0
Washington,552.0
West Virginia,378.0
Wisconsin,690.0
Wyoming,143.0
