,Unnamed: 0,HOMO,LUMO,GAP,R2,ZPVE,U0,U,H,G,Cv,vibrational_frequencies,E1,E2,f1,f2,smiles,nN,nO,nHBAcc,nHBDon,TopoPSA,GGI1,Diameter
10000,10000,-0.2818,0.028,0.3097,1109.2219,0.163679,-365.089448,-365.079822,-365.078877,-365.123724,34.38,"[77.0073, 93.2123, 138.9224, 178.5504, 192.6207, 238.4972, 265.9978, 324.3452, 360.358, 372.6957, 427.6559, 485.1009, 575.1607, 673.792, 760.8863, 823.0636, 887.51, 934.0112, 953.904, 1027.9022, 1056.4481, 1075.9738, 1103.8699, 1132.4703, 1170.1343, 1251.5763, 1270.8985, 1310.712, 1336.2431, 1361.487, 1377.8677, 1408.5407, 1420.4278, 1427.3841, 1490.8654, 1491.32, 1497.1359, 1501.5666, 1507.9864, 2345.727, 3028.4987, 3035.8589, 3036.6065, 3040.157, 3050.0736, 3089.287, 3105.183, 3110.141, 3115.7454, 3124.6394, 3780.7302]",0.28614725,0.30732597,0.01047439,0.00705463,CCC(C#N)C(C)O,1,1,2,1,44.02,2,4
10001,10001,-0.2338,0.0329,0.2667,1089.331,0.175667,-345.190043,-345.180226,-345.179282,-345.224536,34.754,"[68.1297, 104.648, 134.4941, 165.5848, 199.2642, 223.18, 242.0498, 299.1059, 336.1156, 362.418, 419.2597, 465.7058, 554.251, 615.2916, 741.1196, 844.1443, 885.0886, 952.3247, 1008.6219, 1062.8836, 1073.8927, 1105.646, 1121.5704, 1131.3213, 1190.0773, 1228.3922, 1285.3679, 1293.7573, 1323.1595, 1372.8875, 1382.7685, 1410.8303, 1443.9535, 1473.3207, 1479.8163, 1492.0108, 1494.8291, 1499.0256, 1502.4273, 1510.1626, 1517.4643, 2338.8976, 2958.5864, 2968.4901, 3031.4097, 3041.2824, 3051.1112, 3066.6511, 3079.7705, 3084.8613, 3107.9897, 3109.4974, 3122.0299, 3132.0476]",0.23591307,0.26114382,0.00133473,0.04225853,CCC(C#N)N(C)C,2,0,2,0,27.03,2,4
10002,10002,-0.2355,0.0301,0.2656,1055.7727,0.165093,-361.232458,-361.222832,-361.221888,-361.266686,34.109,"[69.584, 118.7058, 134.3934, 165.618, 220.7816, 233.9695, 258.5651, 298.8852, 348.7765, 372.9585, 420.651, 476.6962, 557.4603, 614.8186, 769.2483, 865.4421, 930.7749, 968.3966, 1051.892, 1054.7236, 1069.5621, 1118.5539, 1126.7745, 1173.9932, 1190.9901, 1243.3205, 1264.6894, 1299.4061, 1327.9452, 1385.8363, 1424.1854, 1445.1085, 1475.0816, 1481.3807, 1496.523, 1501.3809, 1514.9286, 1520.3626, 1637.2874, 2342.3692, 2960.2969, 2968.1237, 2974.2825, 3056.1561, 3067.2899, 3070.3482, 3080.5937, 3112.4408, 3121.4079, 3500.096, 3584.3952]",0.23974961,0.2542949,0.00149132,0.00895328,CN(C)C(CN)C#N,3,0,3,1,53.05,2,4
10003,10003,-0.2497,0.022,0.2716,1013.7067,0.152666,-381.108212,-381.099011,-381.098067,-381.142312,32.682,"[45.8503, 102.8705, 159.4111, 190.3544, 225.5271, 239.062, 316.9163, 359.4877, 378.6623, 431.7532, 459.7979, 510.3248, 572.7686, 678.7252, 839.4025, 861.61, 961.2861, 1022.5668, 1064.2522, 1091.2283, 1109.1339, 1122.3818, 1172.8541, 1217.8742, 1242.7696, 1288.512, 1295.0665, 1347.2847, 1384.7975, 1440.0821, 1446.1038, 1480.7027, 1485.8698, 1493.8753, 1502.3786, 1512.3814, 1524.1526, 2362.453, 2927.1249, 2948.8811, 2960.1498, 2986.5769, 3085.6653, 3086.05, 3089.3553, 3131.7212, 3142.3793, 3714.1732]",0.24423275,0.26819831,0.0310466,0.02973628,CN(C)C(CO)C#N,2,1,3,1,47.26,2,4
10004,10004,-0.2468,0.0315,0.2783,1158.4078,0.175927,-345.19789,-345.188039,-345.187095,-345.232383,35.096,"[66.8466, 103.8318, 149.7294, 188.3125, 197.9392, 214.5974, 249.2809, 274.9674, 329.4142, 367.7938, 431.3528, 432.2395, 540.8941, 608.6819, 756.009, 854.141, 900.1096, 935.7054, 955.991, 982.1193, 1003.4217, 1102.4779, 1138.4551, 1156.6914, 1161.6252, 1193.4161, 1221.0538, 1287.0206, 1338.937, 1350.4603, 1368.8666, 1399.1814, 1422.8109, 1460.6389, 1487.4334, 1488.2957, 1490.6436, 1495.5277, 1503.3306, 1514.4337, 1521.306, 2337.1883, 2984.6872, 3003.6465, 3024.9058, 3031.5257, 3036.8857, 3068.8318, 3096.215, 3102.5426, 3114.4797, 3120.518, 3139.2836, 3516.5505]",0.24349447,0.27321053,0.00549308,0.00668178,CNC(C#N)C(C)C,2,0,2,1,35.82,2,4
10005,10005,-0.2453,0.0394,0.2847,1132.0409,0.16495,-361.24024,-361.230429,-361.229485,-361.274774,34.762,"[62.7346, 100.791, 151.0283, 185.9091, 193.9464, 231.8775, 236.7719, 276.6277, 330.034, 380.456, 430.0902, 454.1264, 542.7903, 608.1399, 764.3845, 846.2447, 870.18, 913.6765, 983.9413, 999.0502, 1033.4771, 1108.5649, 1125.6619, 1160.4273, 1165.9773, 1183.8317, 1249.7879, 1308.2581, 1338.5243, 1362.3811, 1398.4009, 1408.9671, 1459.0885, 1485.5974, 1487.4566, 1495.26, 1500.8243, 1521.5339, 1661.5048, 2343.1402, 2988.9731, 3012.3498, 3026.3193, 3033.1267, 3069.784, 3095.9362, 3114.1144, 3132.1517, 3485.6829, 3512.7078, 3572.0933]",0.24598508,0.24910168,0.00149979,0.03454269,CNC(C#N)C(C)N,3,0,3,2,61.84,2,4
10006,10006,-0.2514,0.0312,0.2826,1113.865,0.152253,-381.121234,-381.111581,-381.110637,-381.155643,33.961,"[65.2228, 99.6706, 147.2862, 183.7671, 199.0387, 236.9699, 270.9613, 288.5518, 326.5189, 385.9546, 420.8906, 470.0932, 551.8425, 610.9856, 765.8679, 869.0911, 906.781, 987.4226, 999.2107, 1057.1609, 1107.1364, 1137.3467, 1157.5711, 1161.4367, 1189.3262, 1267.5131, 1317.3194, 1339.4654, 1372.2875, 1398.2881, 1418.8954, 1459.506, 1487.4621, 1489.77, 1495.3259, 1498.4014, 1521.3511, 2344.335, 2989.5964, 3014.3778, 3025.4744, 3043.8131, 3071.0815, 3106.7412, 3115.7836, 3144.3968, 3514.5631, 3799.4103]",0.24750814,0.26713375,0.00575231,0.00721132,CNC(C#N)C(C)O,2,1,3,2,56.05,2,4
10007,10007,-0.2621,0.0381,0.3002,1148.1266,0.173344,-348.966201,-348.956143,-348.955199,-349.000779,36.19,"[66.0004, 105.6208, 148.0068, 182.2948, 197.6146, 217.5022, 245.8828, 265.2685, 333.797, 366.3626, 424.3286, 441.2747, 526.654, 594.2017, 624.1943, 667.2438, 846.7539, 896.7833, 933.9999, 960.7967, 988.8987, 1006.989, 1131.6726, 1140.6178, 1160.1455, 1184.5637, 1192.7574, 1229.2672, 1295.6006, 1341.6553, 1357.6299, 1373.987, 1396.9482, 1418.9124, 1477.7336, 1484.8077, 1488.9876, 1492.4225, 1501.5884, 1511.4166, 1514.9078, 2226.2312, 2932.78, 2981.3224, 3028.2048, 3029.2866, 3038.5264, 3044.1147, 3091.8534, 3099.3894, 3119.5185, 3122.099, 3138.4441, 3501.3209]",0.26299035,0.27140142,0.00038868,0.00857124,COC(C#C)C(C)C,0,1,1,0,9.23,2,4
10008,10008,-0.2623,0.0387,0.301,1098.9195,0.149473,-384.88907,-384.87909,-384.878146,-384.923753,35.185,"[62.4379, 102.9538, 139.5484, 181.9337, 201.5394, 207.2118, 226.7302, 262.338, 333.1655, 382.56, 438.6445, 463.5762, 534.1869, 598.0796, 628.1158, 664.293, 867.5669, 909.3011, 981.7807, 1017.6319, 1081.7881, 1113.6518, 1134.6829, 1155.0739, 1184.5654, 1208.0157, 1260.6115, 1316.4256, 1346.0901, 1375.4874, 1400.5442, 1423.4559, 1477.4919, 1484.4128, 1487.7488, 1500.367, 1511.81, 2232.4357, 2956.2028, 2985.2559, 2994.0111, 3033.5902, 3050.0461, 3098.9429, 3122.0194, 3138.8936, 3503.3756, 3830.6174]",0.2631587,0.27034062,0.00065768,0.00868839,COC(C#C)C(C)O,0,2,2,1,29.46,2,4
10009,10009,-0.2848,0.0188,0.3036,1123.1566,0.163022,-365.073763,-365.064015,-365.063071,-365.108236,34.209,"[67.1983, 101.6612, 148.1476, 180.5239, 198.2827, 217.4472, 247.2069, 275.5362, 331.4026, 371.3698, 431.2541, 442.9129, 539.893, 611.1921, 847.1245, 893.1527, 935.9212, 960.0146, 990.3098, 996.1025, 1133.8858, 1141.8419, 1164.5848, 1184.5519, 1194.1577, 1230.1339, 1294.6207, 1342.645, 1360.3088, 1376.5314, 1399.6361, 1423.498, 1479.4715, 1487.1808, 1489.3847, 1491.4587, 1503.9476, 1508.6321, 1514.5026, 2349.9517, 2954.2954, 2991.7477, 3031.9476, 3033.0297, 3043.1376, 3053.1515, 3098.0701, 3104.7046, 3120.3396, 3131.5574, 3138.9153]",0.27604827,0.29726635,0.0032854,0.02213317,COC(C#N)C(C)C,1,1,2,0,33.02,2,4
